name,rating,title,review,date,attraction,address,latitude,longitude,sitemap
Jan M,5.0 of 5 bubbles,Peaceful temple by the sea,our young guide  kay  from  this is korea private tours  told us that naksansa temple is a popular spot for young lovers to watch the sunrise  korean people also come here during the new year  it is a beautiful temple by the sea  we spent several hours walking around the paths to the temples and buddhist statue  many buddhists were visiting and praying  the sounds of the chants were soothing  the paths were well kept and easy to walk to the different areas with lots of foliage and flowers along the way  we tried korean tea drinks made from fruits and herbs  they were refreshing and served with a chewy and slightly crunchy korean rice cake,30-Oct-15,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
jlmwinters,5.0 of 5 bubbles,A must see!,it s a must to visit this temple  not like any other temples in korea and it is very easy to access  fired years ago and fully restored  must see the tall  female  budha statue  the view on top of the mountain is breathtaking,11-Jul-15,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
MeMe-12341234,5.0 of 5 bubbles,A peaceful memory,first of all  it is pity that part of the temple has been burn down few years ago  current temple is partly original historic buildings with newly reconstructed ones  regardless  the whole temple is nicely located in the middle of mountain  looking down the ocean  really beautiful and overwhelming   as a temple in the mountains  one better be prepared to walk up a little bit  but it is worth every step  several temple buildings are scattered here and there  gigantic statue of bodhisattva made of stone can be also seen through small window below the hill  such a brilliant way of arranging every single components   a must when you visit korea,24-Jun-15,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
donga100,5.0 of 5 bubbles,Stunning scenery,such a gorgeous place  it covers quite a large area so allow at least 30 minutes to walk through even at a brisk pace  the views from the cliff top in front of the buddha statue are great but so are the views of the rest of the complex and there is great architecture to see too  the monks were very friendly and the head monk spoke to us  in good english  and gave my son some candy,25-Apr-15,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Smooth J,5.0 of 5 bubbles,My favorite place in Korea,you absolutely have to go here if you re near seoraksan  the bus to yang yang is a quick ride and there is a stop right outside the temple  or even if you go to gangneung  make your way to yang yang  it s the most breathtaking place in the country  mountains  vast vistas  temple and classic looking pine trees  it s a special place,22-Feb-15,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Hayk Kh,4.0 of 5 bubbles,Naksan Temple (?숈궛?? is gorgeous,we have visited to naksan temple because we had free time  however when we arrived we realized that the place is gorgeous  we were different temples in korea and all of them seems have to same face but naksan temple is special  it located near to the eastern see and view from top of hill is very impressive  there is car parking near to temple withe very reasonable price so it is very convenient go there even with small kids  after enjoying temple it is possible to move down to the sea  the sea is extremely clear and enjoyable  only it was a little bit cold on september  nearby there are several restaurants and you can enjoy fresh and testy seafood   if you are lover of natural then visit to naksan temple should be included into plan  just enjoy it   sincerely,23-Sep-14,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Amy S,4.0 of 5 bubbles,Very peaceful.,what a beautiful temple  overlooking the sea  many intricate designs in the buildings  along with small little shops and a coffee bar  we never did find the monks and their noodles as other people had mentioned  but a nice visit  nonetheless,07-Sep-14,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Herb M,5.0 of 5 bubbles,A piece of Heaven!,toured naksansa today and was quite amazed with the shrine grounds and closeness to the east sea   it truly was a great experience being there  the weather was beautiful and the sea calm  we had a supper of fried fish just off naksan beach that was really great,03-Nov-13,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Yasmine B,5.0 of 5 bubbles,Beautiful experience,one of eight areas in eastern coast of korea  there are many sacred treasures including a colossal statue of buddha guarding the eastern coast  the scenery is simply breathtaking with mountain overlooking the sea  there are large gardens with lotus ponds  and a beautiful temple where monks are chanting  a museum and tea house are also available on the grounds,07-Oct-13,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
adventureguyNZ,5.0 of 5 bubbles,So Peaceful,you cant miss this spot  a beautiful mix of nature and history set in a magnificent position  take your time and soak up the beauty of this area  well worth it,27-Oct-18,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
GlobetrotterJ16,4.0 of 5 bubbles,Scenic temple complex,the temple complex is nearby naksan beach and easy to reach  there is also paid parking available  it is a decent size area  beautiful grounds  amazing views  a nice walk  on the very top is a big statue and the views are fantastic  on the way there one passes by some other buildings  ponds  pavilions etc  there is a souvenir shop that also sells some tea for those who need a break  plan about 2 3 hours to cover the area,03-Jul-18,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Marilyn M,5.0 of 5 bubbles,Vacation,a beautiful temple and grounds  be prepared for a lot of stairs up and down  it has great views of the ocean and surrounding beaches  a lot of history,03-Jun-18,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
chitownsam,5.0 of 5 bubbles,Beautiful temple complex area,the vast majority of this temple complex was destroyed by a fire in 2005 and rebuilt shortly thereafter  no matter  it s still beautiful  loved the rocky shoreline area which contains the furthest east point on the korean peninsula  people come here to be the first to welcome in the new year and the first sunrise  there is a tea house serving a wide variety of teas along with a shop directly across  a number of fountains with water cups to drink the fresh mountain water which is supposed to give you vitality throughout the complex as well as a few restrooms  we came in and out of the back gate  there were a couple small shops and a small food stall there but limited offerings,11-May-18,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
sugarhighness,5.0 of 5 bubbles,Picturesque View of the Temple by the Sea,serene  beautiful  this was a side trip recommended by a friend who is a local  before heading to sokcho  be relaxed by the sound of the gentle waves of water,02-Sep-17,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Kia,4.0 of 5 bubbles,The big Buddha was worth it!,when you arrive you pay and then are given a map pamphlet  which includes an english translation   there are wonderful views  i d never seen anything so beautiful in south korea  the views definitely were reminiscent of when we were in auckland  new zealand on waiheke island   there s a little gift shop that doubles as a tea shop  we bough some bells and wooden prayer beads   there s free ramen noodles  but it s only during certain times and we missed it   it s a nice hike stroll  you get to see several examples of traditional korean architecture  if you re bringing a little one you definitely need to bring a stroller  if i remember correctly  all the paths are paved  we had no problems with our stroller and we trekked all over naksana   wear comfy shoes  i did see two women wearing heels  more power to them  i  however  wouldn t recommend it  i d definitely suggest a camera  though i just used my phone and got wonderful photos    you could definitely make this an all day event  don t think you re going to just skip right to the big buddha and be done  please allow at least a couple hours so you can see the temples and other facilities  like the beautiful pond and big gong   as well as the big buddha,12-Aug-17,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
David B,5.0 of 5 bubbles,Beautiful Views,an amazingly peaceful location  worth the drive  worth the visit  also  try the pumpkin sweet rice drink,04-Jul-17,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
minimize940314,4.0 of 5 bubbles,Fully recovered,this temple was burnt about 10 years ago  but now they recovered and boosts its beauty again  the view of sea from the temple would be amazing for everyone,06-Jan-17,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Guri Bhateja,4.0 of 5 bubbles,Huge temple!,the history of this place goes back around 1300 years  although the place caught fire few times centuries ago  it has been restored  worth a visit,29-Jul-16,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
MartinByrne,5.0 of 5 bubbles,Well worth a visit,stunning temple covering quite an amount of land  really is a beautiful calm interesting place  really well preserved buildings and well kept grounds  highly recommended,17-Jan-16,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
S W,5.0 of 5 bubbles,Worth the visit - Try the Temple Food,naksansa temple is worth the visit  you can enjoy the free temple food  they serve noodles at 1pm in the central area  beside the shop and tea house   after the buddhist service by the sea  at the temple built over the cliff  they serve korean rice cakes and tea,21-Oct-15,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Kelly M,5.0 of 5 bubbles,Peaceful Walk Along a Rugged Coast Line,awesome views and gardens allow for a relaxing walk and experience  depending on your pace and sense of adventure  routes can take anywhere from 1 to 3 hours  the well maintained paths guide you along this rugged coastal point  where there are several different shrines  temples  overlooks  and a lotus pond to take breaks  there are various water fountains pools along the way to keep one hydrated  the nearby restaurants serve up great seafood as well as the occasional chicken,21-Sep-15,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
yakumo S,5.0 of 5 bubbles,Buddhism and Landmarks,beautiful complex on a hill between two beaches  great sights and quiet places for meditation  they offer also a nice shop with very good traditional teas,15-Sep-15,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Albertine13,5.0 of 5 bubbles,Worth a journey,an amazing place of serenity  the statues and fountains alone are worth a five hour visit  one of the most impressive sights in korea,05-Jul-15,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
makkberger,5.0 of 5 bubbles,Must do if in the area,i arrived mid week around 10am and there were few others  in fact felt that i had naksan beach and town all to myself  perfectly situated on a bluff with expansive 360 views  well maintained and just 3000 krw entrance fee  beautiful pagodas and grounds and great coffee   gift shop for relaxing,18-Sep-14,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
MFamilyTraveller,5.0 of 5 bubbles,Seaside serenity,this buddhist temple combines two wonderful qualities   the serenity and beauty of buddhist temple grounds coupled with the seaside  the grounds are a sight to behold and the scenery is just fantastic  it s definitely worth a visit just for that alone,12-Apr-13,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Agata0710,5.0 of 5 bubbles,Beautiful temple overlooking the ocean,the views here are fantastic    temple is really big so you would need at least an hour to look around but it is really worth it    the views are breathaking  you must visit if you are in yang yang                              wellnesskorea  wellnesstourismsupporters,30-Nov-20,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Javier,4.0 of 5 bubbles,Great temple with great views,the temple was amazing in general and most of the views were really spectacular  the only issue is the lack of food in the area  strongly suggest u bring food in from the convenience store before you enter and there is quite a bit to see  also the free noodles finished before 1pm so head to the teahouse early so that you can get the free noodles they provide  overall really worth it and quite inexpensive to enter as well,04-Sep-19,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
travellover4110,5.0 of 5 bubbles,Beautiful spot!,beautiful historical place to visit  it is totally worth it and will definately go back  it has up and down hiss but not up to hike level its just nice walk,21-Jan-19,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Tony B,4.0 of 5 bubbles,Another of Korea's iconic Temples.,located in yangyang this temple is right on the coast  well worth viewing  we spent about an hour here and were kept busy taking photos of the various buildings  of particular note is the area near the large religious statue at the highest point  an amazing view both to the north  sokcho  and the south along the beach,02-Dec-18,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
TravelAngler725,5.0 of 5 bubbles,One of my favorites,this is one of my favorite temples in korea  rivaling the haedong temple in busan  apart from its beauty and scale  you are in close proximity to naksan beach and also to several boats should you want to go out for a day of fishing,20-Aug-18,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
SunnyCha,4.0 of 5 bubbles,Find yourself with peace and quite,they sell local drinks  and it was very tasty and the view was also nice  2  during summer  it can get really hot not much shades   but during winter time it s cold and very windy  3  if you bring a stroller  it s doable but can be tough  4  it s a good place to watch sunrise  5  when you park  make sure you park besides the naksan beach hotel  there is a separate parking lot  but smaller and closer to the entarance   enjoy,10-Jun-18,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
?숈꽠 ??,5.0 of 5 bubbles,Very Quiet and Peaceful!! Awesome!!,in last korean winter  i can saw beautiful snowy buddhist temple   that was naksansa temple in kangwondo naksan  there is very quiet and peaceful  i highly reccommend you,14-Dec-17,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
msnakim,3.0 of 5 bubbles,Uisangdae Pavilion under Construction,the uisangdae pavilion is under construction  what a pity   nevertheless our guide recommended that we visit hongryeonam  small temple built in a stone cave  instead  the grounds were serene and peaceful  but the views were not exactly what i had been expecting  all my photos had evidence of the construction works going on  so if you are visiting for the views  perhaps do check when the construction will be completed   we spent some time in the tea house instead  hmmm   korean tea has a strong taste  and takes a while to be accustomed to  i tried two different flavours and didn t like either of them,06-Dec-17,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
daegwonj,4.0 of 5 bubbles,Famous Temple Visit,walking through famous temple at sea cliff was very nice  the temple was rebuilt because of mountain fire 5 years ago  wished to enjoy original temple parts,15-Feb-17,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Tom031,4.0 of 5 bubbles,Beautiful park,this park offers some great views of the coastline and the east sea  the whole place covers a lot of ground with lots of stairs and some very steep paths  we were there in early spring and some of the trees and bushes had started to bloom  with everything in bloom and the lights on at night a person could enjoy a very peaceful visit  as with all places i visit in korea  a place without the crowds is a very welcome thing,19-Apr-16,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Lenka Z,5.0 of 5 bubbles,Statue night view!,it is beautiful temple with a typical history for korean temples  the wooden structure burnt down few times  it was destroyed few times during various wars yet always rebuilt again  it has one of the most gorgeous views i have seen so far in korea   secrert hints  1  do not drive up to the temple s parking place  there are free parking spots under the hill and the temple is only 100m on the hill  i was flabbergasted that so many people actually drove these 100m  created big traffic jam all the time and then paid for the parking place   2  before we went to the place  we ate our dinner by the see on the beach behind the hill  it is the next beach to naksan beach  which is by the temple   i sadly dont remember the name  there were picnic tables and as we eat we suddenly see the huge meters tall statue on the hill behind us getting it s night lights  it was magical view as it shined tall towards the night sky,16-Aug-15,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Katja_nsk,5.0 of 5 bubbles,Temple with special ambiance in a very picturesque area,naksansa is beautiful and peaceful  it is located not far from seoraksan national park  on a hill above the sea  east sea   so the views in any direction are spectacular  you can walk to the temple from naksan beach  temple s back gate   the most prominent structure is the tall statue of bodhisattva of mercy  haesugwaneumsang           but uisangdae pavillion on the cliff  gwaneum pond filled with lotus flowers  and others are also interesting and feel in perfect harmony with nature   the temple complex is good for emerging into korean buddhist culture or just for a romantic walk in scenic surroundings  we were travelling with our 2 years old  so we did not have much chance to deeply study the history of the temple  but still we had a very good 2 hours walk and this will be one of the best memories of korea  if i ever in the area again  i would be glad to visit naksansa again   the area is very well maintained  there are toilets  benches and buddhist goods for sale  free noodles experience is offered at 11 30 am   01 00 pm  except mon    according to the sign  it is located near the lotus pond  closer to the back gate leading to naksan beach  the temple also offers temple stay  seoraksan national park and sokcho are not far away  so these trips may be combined,27-Jul-15,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
KEVINHWANG,5.0 of 5 bubbles,Beautiful beachside pavilion.,beautiful beachside pavilion   this is buddhist temple  among buildings  eui sang dae pavilion is most beautiful  in my opinion  it is located on top of hill which is located beachside and commanding a very fine view   when you go this temple please find this pavilion,05-Nov-14,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
J W,4.0 of 5 bubbles,Nice temple by the sea.,this is a nice temple by the sea with views along the cost  the is a large buddha statue on the top of the hill  this is a nice temple complex with unique coastal views  if in the area stop in and take in the scenery  many nice buildings and it has nice history culture,24-Oct-14,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Hayk,5.0 of 5 bubbles,Naksan Temple is gorgeous,we have visited to naksan temple because we had free time  however when we arrived we realized that it is a wonderful place  we were in several temples in korea and they seem to have some face  but naksan temple is special  it located near to the eastern sea on the hill  the view from temple is wonderful  after enjoying temple it is possible to go down to the sea and enjoy perfectly clear water  thete is a car parking near to temple with very reasonable prices so it is very convenient go there even with small kids  nearby there are several restaurants and it is possible to enjoy very fresh seafood  this place is great for all who lovers nature  just enjoy it     sincerely,23-Sep-14,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Yujie W,5.0 of 5 bubbles,"If you have time to visit outside Seoul, don't miss it.",i went to a temple stay for 3 days  individual with no group organized scheduled   it s one of the most beautiful place  i shared the ladies room with 4 other people and we ended up moving together with our own schedule  the meals in the temple are just perfect traditional humble food  don t miss the 3 00 am bell toll and the temple mass  the night lights and the sunset just make the place unique with beautiful texture  korean knows this place but i wish more tourist don t miss this place  the only problem is how you get there  it s around 5 hours east from seoul  and i had to take an express bus and than local bus which can be cumbersome for foreigners  those who is new to temple stay maybe you will enjoy more the group organized 2 night stay such as program called  blue bird   it s more pricey but if you want to have more organized activities it might be worth it  80000kr for foreigners  70000kr for locals  actually the price is getting a bit higher than 2 years ago  it comes with shared room with floor bed linens  3 meals  i was told you can also reserve single room with extra if you make special reservation  the room can be very dry during winter  on the way back to home after the program there is good fresh seafood restaurants with low price so don t miss it either,30-May-14,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Mic,5.0 of 5 bubbles,Beautifull place,from sokcho  take the bus n 9 or 9 1  get off at naksan beach and then walk untill the park entrance  you will see a big temple just next to the ocean  also  between 11 and 1pm  they give out free noodles for everybody  a great experience  after that  you can go untill naksan beach easilly and then grab the bus back to sokcho,28-Apr-14,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
CanisHan,5.0 of 5 bubbles,The best temple,i liked visiting temple  so i have been many temples  there was the best temple i ve visited  i think  the vast site  beautiful ocean view  good atmosphere was all good  especially  the state of buddha in this temple was very glittered with gold color  and there was good to walking with feeling korean old mood  recommand,19-Jan-14,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Korea-Yogin,4.0 of 5 bubbles,Very special location with Ocean view,this temple is in a very special location  if you pass the naksan beach hotel up the hill you are there  the temple itself is located on a large area and has several buildings  40 50   if you walk through this temple you will see very nice view and landscapes  definitely one of the most beautiful temples in south korea,21-Nov-13,낙산사,강원도 양양군 강현면 낙산사로 100,38.1246156,128.6280451,trip adivisor
Mawi S.,4.0 of 5 bubbles,Relaxing traditional Korean spa,really looking forward to visit this part of the hotel     the place looks like a traditional korean spa  the pools were huge and the area was spacious  saunas and pools with diff temps are available too  it s located on the 2nd floor basement  b2  of the hotel  above all  the place is clean,03-Jul-20,오색탄산온천,강원도 양양군 서면 대청봉길 34,38.0810224,128.4477418,trip adivisor
chrispuravida,4.0 of 5 bubbles,big pools cool mountain vibe,i liked this jjimjilbang more than the others we visited  big pools  no crowd  cool pebble paths for foot massages  steam room  sauna  multi temp pools  etc,20-Nov-18,오색탄산온천,강원도 양양군 서면 대청봉길 34,38.0810224,128.4477418,trip adivisor
Tom0326,5.0 of 5 bubbles,Korean hot spring with atmosphere of Japanese hot spring recuperation,hot spring facility attached to osaek greenyard hotel  because it is at the foot of mt  seolak which takes an hour from gangneung  there is no bustling feeling  and it has made a great contribution  the facility is ragged with the atmosphere full of showa  but the hot spring is properly done  i think that you like it if you like the atmosphere like a hot spring place,22-Feb-18,오색탄산온천,강원도 양양군 서면 대청봉길 34,38.0810224,128.4477418,trip adivisor
joshvam8,4.0 of 5 bubbles,Mountain korean sauna,located at osaek greenyard hotel  nice hot spring facility in the b2 level of greenyard hotel  the hotel and facility was built some years ago  with little or no renovations  giving the place a time capsule file in a good way  the hot spring facility is a traditional korean sauna  despite its obvious age  the surfaces and water were clean  didn t notice any sliminess on bath surfaces   relatively high ceilings and super spacious  there were no windows  which is typical for korean saunas  but with high ceilings and lighting  it didn t feel gloomy as some korean saunas bathhouses can  there were 41c and 43 bathes  and enormous 38c bath  two 27c pools  the carbonated acid pool  no temperature  but guessing 27c   hot and dry saunas and finally two small footpaths   one cold and one ambient  there seemed to be an outdoor bath  but it was apparently closed  signage in korean   great location right in the seorak mountains,19-Feb-17,오색탄산온천,강원도 양양군 서면 대청봉길 34,38.0810224,128.4477418,trip adivisor
papertowel27,4.0 of 5 bubbles,my favorite spa in Korea,i ve visited several natural spas  oncheon     in korea  and this one is my favorite  i d say it compares to mid range japanese mountain resort onsens in variety and quality  it s also cleaner than any other spa i ve visited in korea  although it could be cleaner  there are two tiers for pricing  the base price allows entries to the baths only  while the higher price allows entry to the baths and a selection of co ed dry saunas  note that the carbonated spring itself is actually not hot  but there are several hot baths to warm up in  mugwort bath  hinoki bath  pine needle bath  alkali bath  etc   the spa is connected to the greenyard hotel  but anyone can use the spa  you can get here via an approximately 40 minute ride on bus number 1 from yangyang  which picks up every 60 to 90 minutes across from yangyang traditional market  among other places,14-Sep-16,오색탄산온천,강원도 양양군 서면 대청봉길 34,38.0810224,128.4477418,trip adivisor
GlobetrotterJ16,4.0 of 5 bubbles,Pagoda with nice views,the pavilion is part of naksana temple and one of the first stops there  the weather cleared up and the views are stunning  one can see the ocean and naksan port beach  we were lucky and not many tourists were around so that we had a moment to relax in the peaceful atmosphere of the pavilion while enjoying the scenic views  when visiting the temple complex this pavilion is a must see,03-Jul-18,의상대,강원도 양양군 강현면 전진리 100,38.1253749,128.6307526,
chitownsam,4.0 of 5 bubbles,Small Pavillion inside Naksana Complex with great shore views,this is a lovely small pavillion inside the naksana temple complex which was only recently renovated  there a breathtaking views up and down the rocky shoreline  many people come here to welcome in the first sunrise of the new year from the furthest east point on the penninsula,11-May-18,의상대,강원도 양양군 강현면 전진리 100,38.1253749,128.6307526,
Yahya Danayiyen,5.0 of 5 bubbles,Feeling of peace,the pavilion is located inside the naksansa temple  one of the best point is to overlooking east sea  also you can watch sunrise in the morning  but there are lots of people in the morning  if you visit the temple   don t miss this place  the architecture of the pavilion is impressing  it is worth to see at least one time in korea,02-Feb-18,의상대,강원도 양양군 강현면 전진리 100,38.1253749,128.6307526,
Kia,3.0 of 5 bubbles,Nice views,it s part of on the way to naksana and offers fantastic views  i didn t go into the pavilion because it was quite busy  but you don t need to be inside the pavilion to get great shots of the view   i actually think the view is better from the big buddha statue,12-Aug-17,의상대,강원도 양양군 강현면 전진리 100,38.1253749,128.6307526,
Guri Bhateja,3.0 of 5 bubbles,So far so many!,if you have been to korea you have already seen a lot of pavilion and every one of those has a different design,29-Jul-16,의상대,강원도 양양군 강현면 전진리 100,38.1253749,128.6307526,
Elsket,4.0 of 5 bubbles,Great place for photos,situated in a great place for seeing the coast line and for taking photos  with lots of parking close by,19-Feb-16,의상대,강원도 양양군 강현면 전진리 100,38.1253749,128.6307526,
S W,3.0 of 5 bubbles,Nice View,nice pavilion  difficult to take a picture there because of the amount of people  it would make a nice spot for a picnic,21-Oct-15,의상대,강원도 양양군 강현면 전진리 100,38.1253749,128.6307526,
CanisHan,3.0 of 5 bubbles,Have good view,there was a good place to enjoy view of sea  and had good atmosphere  there was certain of good attraction  but a part of naksan temple  there would be include naksan temple  i think,19-Jan-14,의상대,강원도 양양군 강현면 전진리 100,38.1253749,128.6307526,
Tinee Langcz,5.0 of 5 bubbles,"Beautiful sunrise at the beach, big waves and skywalk",beautiful beach especially the sunrise  many seafood restaurants at affordable price and convenience store  camping areas were also available  the skywalk and seaside boardwalk were also nice  small and short yet still gives you a good view of the beach and the rock slopes  very accessible with public transport  but beach front rooms are quite higher than normal rates,17-Jul-19,하조대,강원도 양양군 현북면 하광정리 산3,38.0210854,128.7356837,
